linkname,coefficient,coefficient_from_ocr,p_value,significance_level,highway,latitude,longitude,road_name,name,linkid,numberoflanes,speedlimitmph,averagespeedmph,averagedelayspvpm,reliabilityspvpm,averagedailyflow,lengthm,totaldelayvhd,roadnumber,roadclass,direction,linklocation,startwidth,endwidth,match_method,road_type2,road_type2_id
106020902,.0069152052,53046,0,***,A14,52.237606,.15145464,A14/1012A,MIDAS site at A14/1012A priority 1 on link 106020902; GPS Ref: 547006;262114; Eastbound,106020902,2,70,63.235199,5.5809999,2.0912001,23727.6,852.23999,37.191002,A14,Rural all-purpose dual 2 lane carriageway,Eastbound,A14 eastbound within J33,,,exact_link_id,Rural all-purpose,Rural all-purpose
106021002,.0011158547,-.0028435001,0,***,A14,52.236095,.12274872,A14/0992A,MIDAS site at A14/0992A priority 1 on link 106021002; GPS Ref: 545051;261888; Eastbound,106021002,3,70,62.7728,5.9618001,1.8306,23440.199,1831.02,39.263,A14,Rural all-purpose dual 3 or more lane carriageway,Eastbound,A14 eastbound between J32 and J33,,,exact_link_id,Rural all-purpose,Rural all-purpose
106021201,-.0044945572,-.0025502001,0,***,A14,52.237106,.15225063,A14/1013L,MIDAS site at A14/1013L priority 1 on link 106021201; GPS Ref: 547062;262060; Westbound,,2.2111716,70,61.754242,7.3049579,2.1724114,24210.299,2106.115,50.134014,,,,,,,highway_mean,Rural all-purpose,Rural all-purpose
106025301,.0057611354,70028,0,***,A11,52.219967,.31428468,A11/0900A,MIDAS site at A11/0900A priority 1 on link 106025301; GPS Ref: 558186;260495; Northbound,106025301,2,70,64.790199,4.4745998,2.0664001,17290.6,5388.6499,21.575399,A11,Rural all-purpose dual 2 lane carriageway,Northbound,A11 northbound between A1304 and A14,,,exact_link_id,Rural all-purpose,Rural all-purpose
106025302,.0054161032,96347,0,***,A14,52.218643,.31305921,A14/1135A,MIDAS site at A14/1135A priority 1 on link 106025302; GPS Ref: 558107;260345; Eastbound,106025302,2,70,58.732601,10.459,3.9245999,21568.6,7387.5,59.0634,A14,Rural all-purpose dual 2 lane carriageway,Eastbound,A14 eastbound between J35 and J36,,,exact_link_id,Rural all-purpose,Rural all-purpose
106025401,.0024472312,43898,0,***,A14,52.221504,.31803951,A14/1139L,MIDAS site at A14/1139L priority 1 on link 106025401; GPS Ref: 558437;260674; Westbound,106025401,3,70,62.5476,6.3888001,1.6986001,35609.602,7333.7202,64.377602,A14,Rural all-purpose dual 3 or more lane carriageway,Westbound,A14 westbound between J37 and J36,,,exact_link_id,Rural all-purpose,Rural all-purpose
106026501,.003915763,42937,0,***,A11,52.272385,.44971606,A11/0024B,MIDAS site at A11/0024B priority 1 on link 106026501; GPS Ref: 567239;266628; Westbound,,2.0261097,69.686684,61.342773,8.8641596,2.35341,19161.164,2243.8093,45.348022,,,,,,,highway_mean,Rural all-purpose,Rural all-purpose
106026502,.0040609203,34951,0,***,A14,52.270756,.44295669,A14/1250B,MIDAS site at A14/1250B priority 1 on link 106026502; GPS Ref: 566784;266431; Westbound,106026502,2,70,60.0914,9.0172005,3.332,18119,6328.1602,49.283401,A14,Rural all-purpose dual 2 lane carriageway,Westbound,A14 westbound between J39 and J38,,,exact_link_id,Rural all-purpose,Rural all-purpose
106026701,.0044213291,60822,0,***,A14,52.270489,.44185743,A14/1250A,MIDAS site at A14/1250A priority 1 on link 106026701; GPS Ref: 566710;266399; Eastbound,106026701,3,70,58.493999,10.2188,2.0020001,35455,3622.3101,99.720802,A14,Rural all-purpose dual 3 or more lane carriageway,Eastbound,A14 eastbound between J37 and J38,,,exact_link_id,Rural all-purpose,Rural all-purpose
106026901,.0053883083,31829,0,***,A11,52.289619,.47074208,A11/0047B,MIDAS site at A11/0047B priority 1 on link 106026901; GPS Ref: 568608;268593; Southbound,106026901,2,70,67.255997,2.3908,1.1758,20325,3167.27,13.8326,A11,Rural all-purpose dual 2 lane carriageway,Southbound,A11 southbound between B1085 near Red Lodge (north) and B1085 near Red Lodge (south),,,exact_link_id,Rural all-purpose,Rural all-purpose
106027201,.0034374737,43378,0,***,A14,52.267227,.43128645,A14/1241B,MIDAS site at A14/1241B priority 1 on link 106027201; GPS Ref: 566001;266012; Westbound,106027201,3,70,57.485001,13.36,3.4212,34810.398,2791.1101,130.6936,A14,Rural all-purpose dual 3 or more lane carriageway,Westbound,A14 westbound between J38 and J37,,,exact_link_id,Rural all-purpose,Rural all-purpose
106031101,.0076914015,107448,0,***,A14,52.27264,.44829354,A14/1254A,MIDAS site at A14/1254A priority 1 on link 106031101; GPS Ref: 567141;266653; Eastbound,106031101,2,70,64.654198,4.4232001,1.4964,16671.801,5698.7798,20.4774,A14,Rural all-purpose dual 2 lane carriageway,Eastbound,A14 eastbound between J38 and J39,,,exact_link_id,Rural all-purpose,Rural all-purpose
106063401,-.0067610387,-.0025144001,0,***,A14,52.237309,.15258257,A14/1012B,MIDAS site at A14/1012B priority 1 on link 106063401; GPS Ref: 547084;262083; Westbound,106063401,2,70,58.540798,10.083,2.1526,23123.4,857.88,64.9972,A14,Rural all-purpose dual 2 lane carriageway,Westbound,A14 westbound within J33,,,exact_link_id,Rural all-purpose,Rural all-purpose
106063402,-.0023448162,,,,A14,52.237705,.14760733,A14/1008M,MIDAS site at A14/1008M priority 1 on link 106063402; GPS Ref: 546743;262117; Westbound,,2.2111716,70,61.754242,7.3049579,2.1724114,24210.299,2106.115,50.134014,,,,,,,highway_mean,Rural all-purpose,Rural all-purpose
106063501,.0053518917,30379,0,***,A11,52.285038,.46622032,A11/0041B,MIDAS site at A11/0041B priority 1 on link 106063501; GPS Ref: 568317;268073; Southbound,106063501,2,70,65.042397,4.0201998,1.5138,21752.801,1902.9301,24.9674,A11,Rural all-purpose dual 2 lane carriageway,Southbound,A11 southbound between B1085 near Red Lodge (south) and A14/A1304,,,exact_link_id,Rural all-purpose,Rural all-purpose
124000101,.0089058271,8906,0,***,A1,52.340271,-.25127545,A1/2033A,MIDAS site at A1/2033A priority 1 on link 124000101; GPS Ref: 519233;272792; Northbound,124000101,3,70,65.6418,3.4591999,1.1109999,33675.602,2563.2,32.3876,A1,Rural all-purpose dual 3 or more lane carriageway,Northbound,A1 northbound between A141 and A1(M)/B1043,,,exact_link_id,Rural all-purpose,Rural all-purpose
124000202,-.006116732,46543,0,***,A1M,52.359924,-.25430351,A1M/2055M,MIDAS site at A1M/2055M priority 1 on link 124000202; GPS Ref: 518974;274973; Southbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
124000205,.0090686809,107182,0,***,A1M,52.360844,-.25488424,A1M/2056B,MIDAS site at A1M/2056B priority 1 on link 124000205; GPS Ref: 518932;275074; Southbound,124000205,3,70,67.770401,2.2268,1.1948,28680,639.21997,17.934799,A1(M),"Motorway, dual 3 lanes",Southbound,A1(M) southbound between J14 and A1,,,exact_link_id,Motorway,Motorway
124000301,-.004930825,-.00072920002,0,***,A1M,52.360001,-.25496152,A1M/2055J,MIDAS site at A1M/2055J priority 1 on link 124000301; GPS Ref: 518929;274980; Northbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
126017201,.0095390296,125679,0,***,A1M,52.527184,-.31197008,A1M/2248A,MIDAS site at A1M/2248A priority 1 on link 126017201; GPS Ref: 514613;293482; Northbound,126017201,3,70,65.305603,3.9954,1.552,17345.6,649.10999,19.2274,A1(M),"Motorway, dual 3 lanes",Northbound,A1(M) northbound within J17,,,exact_link_id,Motorway,Motorway
126046001,.0057089906,2149,0,***,A1M,52.371044,-.25269026,A1M/2067B,MIDAS site at A1M/2067B priority 1 on link 126046001; GPS Ref: 519054;276212; Southbound,126046001,3,70,67.7444,2.2091999,1.1434,29244.6,1841.38,18.149799,A1(M),"Motorway, dual 3 lanes",Southbound,A1(M) southbound between J14 and A1,,,exact_link_id,Motorway,Motorway
126046101,.0043647918,31431,0,***,A1M,52.535156,-.32027546,A1M/2259B,MIDAS site at A1M/2259B priority 1 on link 126046101; GPS Ref: 514029;294356; Southbound,126046101,2,70,66.598602,2.994,1.1444,16251.6,373.42001,13.871,A1(M),"Motorway, dual 2 lanes",Southbound,A1(M) southbound within J17,,,exact_link_id,Motorway,Motorway
199033002,.0057148361,61505,0,***,A1,52.348965,-.25171074,A1/2043B,MIDAS site at A1/2043B priority 1 on link 199033002; GPS Ref: 519180;273758; Southbound,199033002,3,70,63.902401,4.9534001,1.4862,32329.801,2546.23,42.992001,A1,Rural all-purpose dual 3 or more lane carriageway,Southbound,A1 southbound between A1(M)/B1043 and A141,,,exact_link_id,Rural all-purpose,Rural all-purpose
199034401,.0023005435,21328,0,***,A1M,52.505875,-.29379308,A1M/2223L,MIDAS site at A1M/2223L priority 1 on link 199034401; GPS Ref: 515902;291141; Southbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199034501,-.001262372,-.0026491999,0,***,A1M,52.499523,-.29247719,A1M/2214J,MIDAS site at A1M/2214J priority 1 on link 199034501; GPS Ref: 516008;290437; Northbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199034803,.0067517925,92567,0,***,A1M,52.535019,-.32053143,A1M/2259A,MIDAS site at A1M/2259A priority 1 on link 199034803; GPS Ref: 514012;294340; Northbound,199034803,2,70,65.269997,4.0037999,1.5644,17050.801,679.53998,18.9156,A1(M),"Motorway, dual 2 lanes",Northbound,A1(M) northbound within J17,,,exact_link_id,Motorway,Motorway
199041401,-.012714557,53792,0,***,M11,52.096966,.13892722,M11/6744J,MIDAS site at M11/6744J priority 1 on link 199041401; GPS Ref: 546612;246448; Northbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199041501,-.0049258354,-.0041995002,0,***,M11,52.100288,.13701294,M11/6748L,MIDAS site at M11/6748L priority 1 on link 199041501; GPS Ref: 546470;246814; Southbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199041701,-.0080342358,-.0060951002,0,***,M11,52.213139,.077153757,M11/6885J,MIDAS site at M11/6885J priority 1 on link 199041701; GPS Ref: 542011;259245; Northbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199042001,-.016899768,21474,0,***,M11,52.186275,.074351035,M11/6855J,MIDAS site at M11/6855J priority 1 on link 199042001; GPS Ref: 541905;256252; Northbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199042501,-.0013330451,-.017214401,0,***,M11,52.161686,.10167454,M11/6821L,MIDAS site at M11/6821L priority 1 on link 199042501; GPS Ref: 543852;253571; Southbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199045301,-.0037506816,19214,0,***,A1M,52.446175,-.27595574,A1M/2153L,MIDAS site at A1M/2153L priority 1 on link 199045301; GPS Ref: 517271;284530; Southbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199046401,-.013592794,85476,0,***,A1M,52.427994,-.27028152,A1M/2133J,MIDAS site at A1M/2133J priority 1 on link 199046401; GPS Ref: 517705;282517; Northbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199046501,-.0047493633,42476,0,***,M11,52.192974,.075540692,M11/6863L,MIDAS site at M11/6863L priority 1 on link 199046501; GPS Ref: 541965;256999; Southbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199046603,.0036268302,16632,0,***,A1M,52.371067,-.25299785,A1M/2067A,MIDAS site at A1M/2067A priority 1 on link 199046603; GPS Ref: 519033;276214; Northbound,199046603,3,70,66.666397,2.7498,1.1246001,31439.6,3030.75,24.055,A1(M),"Motorway, dual 3 lanes",Northbound,A1(M) northbound between A1 and J14,,,exact_link_id,Motorway,Motorway
199046801,.0057890746,27555,0,***,A1M,52.413086,-.26604182,A1M/2115B,MIDAS site at A1M/2115B priority 1 on link 199046801; GPS Ref: 518033;280866; Southbound,199046801,4,70,66.5,2.9633999,1.1878,35735.801,5607.8301,29.9132,A1(M),"Motorway, dual 4 or more lanes",Southbound,A1(M) southbound between J15 and J14,,,exact_link_id,Motorway,Motorway
199047001,-.0062044817,88053,0,***,A1M,52.430038,-.27133402,A1M/2135K,MIDAS site at A1M/2135K priority 1 on link 199047001; GPS Ref: 517628;282743; Northbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199047002,.0058790934,54455,0,***,A1M,52.430084,-.27061155,A1M/2134A,MIDAS site at A1M/2134A priority 1 on link 199047002; GPS Ref: 517677;282749; Northbound,199047002,4,70,66.2994,3.2964001,1.226,35278.398,730.96002,33.0364,A1(M),"Motorway, dual 4 or more lanes",Northbound,A1(M) northbound within J15,,,exact_link_id,Motorway,Motorway
199047101,-.013091717,80674,0,***,A1M,52.432476,-.27072385,A1M/2137M,MIDAS site at A1M/2137M priority 1 on link 199047101; GPS Ref: 517663;283015; Southbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199047102,.0067368317,66946,0,***,A1M,52.439625,-.27375439,A1M/2145B,MIDAS site at A1M/2145B priority 1 on link 199047102; GPS Ref: 517438;283805; Southbound,199047102,4,70,65.394203,4.0960002,1.3376,33457.199,2035.05,39.993401,A1(M),"Motorway, dual 4 or more lanes",Southbound,A1(M) southbound within J15,,,exact_link_id,Motorway,Motorway
199047201,.0060350262,37414,0,***,A1M,52.412956,-.26632631,A1M/2115A,MIDAS site at A1M/2115A priority 1 on link 199047201; GPS Ref: 518014;280851; Northbound,199047201,4,70,66.931198,2.6817999,1.17,37324,4533.9399,28.1068,A1(M),"Motorway, dual 4 or more lanes",Northbound,A1(M) northbound between J14 and J15,,,exact_link_id,Motorway,Motorway
199047401,-.0012492051,292,0,***,A1M,52.504646,-.29465103,A1M/2221K,MIDAS site at A1M/2221K priority 1 on link 199047401; GPS Ref: 515847;291003; Northbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199047402,.0051697725,59656,0,***,A1M,52.504818,-.29432011,A1M/2220A,MIDAS site at A1M/2220A priority 1 on link 199047402; GPS Ref: 515869;291023; Northbound,199047402,3,70,66.577003,2.8446,1.3202,34221.199,1184.92,27.0886,A1(M),"Motorway, dual 3 lanes",Northbound,A1(M) northbound within J16,,,exact_link_id,Motorway,Motorway
199047501,.00036672477,73195,0,***,A1M,52.5005,-.29214475,A1M/2215M,MIDAS site at A1M/2215M priority 1 on link 199047501; GPS Ref: 516028;290546; Southbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199047502,.0065658577,5805,0,***,A1M,52.503971,-.29394045,A1M/2219B,MIDAS site at A1M/2219B priority 1 on link 199047502; GPS Ref: 515897;290929; Southbound,199047502,3,70,67.0896,2.51,1.0348001,32975,1198.87,23.1908,A1(M),"Motorway, dual 3 lanes",Southbound,A1(M) southbound within J16,,,exact_link_id,Motorway,Motorway
199047601,.0056304778,63877,0,***,A1M,52.482716,-.2864567,A1M/2194A,MIDAS site at A1M/2194A priority 1 on link 199047601; GPS Ref: 516461;288577; Northbound,199047601,4,70,67.098801,2.5641999,1.1482,38006.398,7483.2998,27.187401,A1(M),"Motorway, dual 4 or more lanes",Northbound,A1(M) northbound between J15 and J16,,,exact_link_id,Motorway,Motorway
199047701,.0041703861,11345,0,***,A1M,52.511944,-.29570961,A1M/2228B,MIDAS site at A1M/2228B priority 1 on link 199047701; GPS Ref: 515756;291813; Southbound,199047701,3,70,65.876404,3.3838,1.1966,36551.398,2828.1499,35.001202,A1(M),"Motorway, dual 3 lanes",Southbound,A1(M) southbound between J17 and J16,,,exact_link_id,Motorway,Motorway
199047801,-.00048922497,19546,0,***,A1M,52.52784,-.3133159,A1M/2248J,MIDAS site at A1M/2248J priority 1 on link 199047801; GPS Ref: 514520;293553; Northbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199047902,-.0042188358,-.001287,0,***,A1M,52.533257,-.31756124,A1M/2255M,MIDAS site at A1M/2255M priority 1 on link 199047902; GPS Ref: 514218;294149; Southbound,,2.6182795,70,65.053261,4.5390429,1.7346398,27270.688,2373.9194,38.410652,,,,,,,highway_mean,Motorway,Motorway
199047903,.0052933805,32247,0,***,A1M,52.53207,-.31682518,A1M/2254B,MIDAS site at A1M/2254B priority 1 on link 199047903; GPS Ref: 514271;294018; Southbound,199047903,3,70,66.502197,3.1082001,1.1884,16432.6,439.29001,14.553,A1(M),"Motorway, dual 3 lanes",Southbound,A1(M) southbound within J17,,,exact_link_id,Motorway,Motorway
199048001,.004287445,25011,0,***,A1M,52.512482,-.29638135,A1M/2229A,MIDAS site at A1M/2229A priority 1 on link 199048001; GPS Ref: 515709;291872; Northbound,199048001,3,70,63.804798,5.0475998,1.595,38450.398,2414.24,54.092602,A1(M),"Motorway, dual 3 lanes",Northbound,A1(M) northbound between J16 and J17,,,exact_link_id,Motorway,Motorway
199049001,-.0020526457,39025,0,***,M11,52.100071,.136214,M11/6748K,MIDAS site at M11/6748K priority 1 on link 199049001; GPS Ref: 546416;246788; Northbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199049002,.0048493361,25275,0,***,M11,52.099735,.1368842,M11/6747A,MIDAS site at M11/6747A priority 1 on link 199049002; GPS Ref: 546463;246752; Northbound,199049002,2,70,64.697601,4.4665999,1.77,20509,669.63,25.684601,M11,"Motorway, dual 2 lanes",Northbound,M11 northbound within J10,,,exact_link_id,Motorway,Motorway
199049101,.0048280419,37003,0,***,M11,52.063133,.18268199,M11/6694A,MIDAS site at M11/6694A priority 1 on link 199049101; GPS Ref: 549722;242775; Northbound,199049101,2,70,64.150002,4.8699999,1.5696,21961,5740.1099,29.692801,M11,"Motorway, dual 2 lanes",Northbound,M11 northbound between J9 and J10,,,exact_link_id,Motorway,Motorway
199049201,-.0014848827,9364,0,***,M11,52.09679,.14001398,M11/6743M,MIDAS site at M11/6743M priority 1 on link 199049201; GPS Ref: 546687;246431; Southbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199049202,.0063992939,8657,0,***,M11,52.096642,.13986079,M11/6743B,MIDAS site at M11/6743B priority 1 on link 199049202; GPS Ref: 546677;246414; Southbound,199049202,2,70,63.322601,5.6808,2.3072,20397.6,670.56,34.085602,M11,"Motorway, dual 2 lanes",Southbound,M11 southbound within J10,,,exact_link_id,Motorway,Motorway
199049401,-.010206068,33596,0,***,M11,52.213234,.078373194,M11/6885M,MIDAS site at M11/6885M priority 1 on link 199049401; GPS Ref: 542094;259258; Southbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199049402,-.0067961183,-.0176752,0,***,M11,52.214012,.078262977,M11/6886B,MIDAS site at M11/6886B priority 1 on link 199049402; GPS Ref: 542084;259344; Southbound,199049402,2,70,53.341,17.0476,5.9661999,31500.4,1894.3,160.3396,M11,"Motorway, dual 2 lanes",Southbound,M11 southbound between J14 and J13,,,exact_link_id,Motorway,Motorway
199049601,-.0050837593,-.0021764,0,***,M11,52.18977,.074060157,M11/6859K,MIDAS site at M11/6859K priority 1 on link 199049601; GPS Ref: 541874;256640; Northbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
199049602,-.00247637,-.0090180002,0,***,M11,52.188129,.07474459,M11/6857A,MIDAS site at M11/6857A priority 1 on link 199049602; GPS Ref: 541926;256459; Northbound,199049602,2,70,54.801998,14.888,5.1919999,32242,783.06,136.14259,M11,"Motorway, dual 2 lanes",Northbound,M11 northbound within J12,,,exact_link_id,Motorway,Motorway
199049701,-.0065054805,-.00076000002,0,***,M11,52.188503,.075464249,M11/6857M,MIDAS site at M11/6857M priority 1 on link 199049701; GPS Ref: 541974;256502; Southbound,,2.180723,70,60.502037,8.610837,3.0260782,31166.662,3604.771,76.947533,,,,,,,highway_mean,Motorway,Motorway
