feature,coefficient,std_err,z_value,p_value,conf_int_lower,conf_int_upper
const,3.8849402135155544,,,,,
totalvolume,-2.624673065346701e-05,,,,,
schoolterm_t,-0.004987266480474723,,,,,
universityterm_t,-0.005272105546250115,,,,,
bankholiday_t,2.1589663718073757e-11,,,,,
event_t,-0.02430666429767211,,,,,
roadworks_t,-0.010837983303292737,,,,,
accident_t,-0.013832827745655665,,,,,
temperature_t,0.0005290927513052306,,,,,
precipitation_t,-0.020943981885684877,,,,,
month_2,0.0028796959708876435,,,,,
month_3,0.00854567445644234,,,,,
month_4,0.013547916766118741,,,,,
month_5,0.01650959030527205,,,,,
month_6,0.017424822575344074,,,,,
month_7,0.01237922512213495,,,,,
month_8,0.012032942582548504,,,,,
month_9,0.012835009476812913,,,,,
month_10,0.017169791170332484,,,,,
month_11,0.011134622254953697,,,,,
month_12,0.013047827249515209,,,,,
year_2023,0.004308801366817935,,,,,
year_2024,0.0043601065802763165,,,,,
hour_0,-0.06847476300946888,,,,,
hour_1,-0.09320542094788958,,,,,
hour_2,-0.10845589416265136,,,,,
hour_3,-0.10871499613287772,,,,,
hour_4,-0.09184531813164885,,,,,
hour_5,-0.05930218991522259,,,,,
hour_6,-0.02674182420565046,,,,,
hour_7,-0.01951649810585686,,,,,
hour_8,-0.013251326063939216,,,,,
hour_9,-0.0072515568858517185,,,,,
hour_10,-0.00503876234304221,,,,,
hour_11,-0.003847005633869796,,,,,
hour_12,-0.002650650230734931,,,,,
hour_14,0.002475054160891453,,,,,
hour_15,0.007184383892986057,,,,,
hour_16,0.008574286590067873,,,,,
hour_17,0.013605359053108345,,,,,
hour_18,0.01802196784243278,,,,,
hour_19,0.013009903934322544,,,,,
hour_20,-0.0004160570892376113,,,,,
hour_21,-0.01859653206869154,,,,,
hour_22,-0.03336133219000073,,,,,
hour_23,-0.04891268680638373,,,,,
dow_Fri,-0.0182379694351048,,,,,
dow_Mon,-0.01884756979175625,,,,,
dow_Thu,-0.02855950169444769,,,,,
