linkname,coefficient,coefficient_from_ocr,p_value,significance_level,highway,latitude,longitude,road_name,name
BASELINE,-0.0110568,-0.0110568,0.0,***,ALL,,,Baseline precipitation effect,General precipitation effect (precipitation_t)
BASELINE (General Precipitation Effect),-0.0209439818856848,,,,ALL,,,Baseline / All Roads,General precipitation effect - baseline for all roads (precipitation_t)
106020902,0.006915205,53046.0,0.0,***,A14,52.2376069639125,0.151454647693015,A14/1012A,MIDAS site at A14/1012A priority 1 on link 106020902; GPS Ref: 547006;262114; Eastbound
106021002,0.0011158547,-0.0028435,0.0,***,A14,52.2360943071142,0.12274871669494,A14/0992A,MIDAS site at A14/0992A priority 1 on link 106021002; GPS Ref: 545051;261888; Eastbound
106021201,-0.004494557,-0.0025502,0.0,***,A14,52.2371069017877,0.152250629186234,A14/1013L,MIDAS site at A14/1013L priority 1 on link 106021201; GPS Ref: 547062;262060; Westbound
106025301,0.0057611354,70028.0,0.0,***,A11,52.2199686631229,0.314284680238227,A11/0900A,MIDAS site at A11/0900A priority 1 on link 106025301; GPS Ref: 558186;260495; Northbound
106025302,0.005416103,96347.0,0.0,***,A14,52.218643840917,0.313059221719628,A14/1135A,MIDAS site at A14/1135A priority 1 on link 106025302; GPS Ref: 558107;260345; Eastbound
106025401,0.0024472312,43898.0,0.0,***,A14,52.2215046047572,0.318039496838215,A14/1139L,MIDAS site at A14/1139L priority 1 on link 106025401; GPS Ref: 558437;260674; Westbound
106026501,0.003915763,42937.0,0.0,***,A11,52.2723856268814,0.449716074687819,A11/0024B,MIDAS site at A11/0024B priority 1 on link 106026501; GPS Ref: 567239;266628; Westbound
106026502,0.0040609203,34951.0,0.0,***,A14,52.2707541780431,0.442956696709823,A14/1250B,MIDAS site at A14/1250B priority 1 on link 106026502; GPS Ref: 566784;266431; Westbound
106026701,0.004421329,60822.0,0.0,***,A14,52.270489161479,0.441857434753601,A14/1250A,MIDAS site at A14/1250A priority 1 on link 106026701; GPS Ref: 566710;266399; Eastbound
106026901,0.0053883083,31829.0,0.0,***,A11,52.2896176920156,0.470742089479793,A11/0047B,MIDAS site at A11/0047B priority 1 on link 106026901; GPS Ref: 568608;268593; Southbound
106027201,0.0034374737,43378.0,0.0,***,A14,52.2672272614505,0.431286458035673,A14/1241B,MIDAS site at A14/1241B priority 1 on link 106027201; GPS Ref: 566001;266012; Westbound
106031101,0.0076914015,107448.0,0.0,***,A14,52.2726399485266,0.448293537575915,A14/1254A,MIDAS site at A14/1254A priority 1 on link 106031101; GPS Ref: 567141;266653; Eastbound
106063401,-0.0067610387,-0.0025144,0.0,***,A14,52.2373076622225,0.152582572192568,A14/1012B,MIDAS site at A14/1012B priority 1 on link 106063401; GPS Ref: 547084;262083; Westbound
106063402,-0.0023448162,,,,A14,52.2377039755327,0.14760732153188,A14/1008M,MIDAS site at A14/1008M priority 1 on link 106063402; GPS Ref: 546743;262117; Westbound
106063501,0.0053518917,30379.0,0.0,***,A11,52.2850361360224,0.4662203184176,A11/0041B,MIDAS site at A11/0041B priority 1 on link 106063501; GPS Ref: 568317;268073; Southbound
124000101,0.008905827,8906.0,0.0,***,A1,52.3402709084354,-0.251275447455376,A1/2033A,MIDAS site at A1/2033A priority 1 on link 124000101; GPS Ref: 519233;272792; Northbound
124000202,-0.006116732,46543.0,0.0,***,A1M,52.3599261252671,-0.254303525147301,A1M/2055M,MIDAS site at A1M/2055M priority 1 on link 124000202; GPS Ref: 518974;274973; Southbound
124000205,0.009068681,107182.0,0.0,***,A1M,52.3608428449683,-0.254884233899909,A1M/2056B,MIDAS site at A1M/2056B priority 1 on link 124000205; GPS Ref: 518932;275074; Southbound
124000301,-0.004930825,-0.0007292,0.0,***,A1M,52.3599987898013,-0.254961532825965,A1M/2055J,MIDAS site at A1M/2055J priority 1 on link 124000301; GPS Ref: 518929;274980; Northbound
126017201,0.00953903,125679.0,0.0,***,A1M,52.5271817227383,-0.311970078529595,A1M/2248A,MIDAS site at A1M/2248A priority 1 on link 126017201; GPS Ref: 514613;293482; Northbound
126046001,0.0057089906,2149.0,0.0,***,A1M,52.3710426943678,-0.252690256390412,A1M/2067B,MIDAS site at A1M/2067B priority 1 on link 126046001; GPS Ref: 519054;276212; Southbound
126046101,0.004364792,31431.0,0.0,***,A1M,52.5351577963853,-0.320275451712423,A1M/2259B,MIDAS site at A1M/2259B priority 1 on link 126046101; GPS Ref: 514029;294356; Southbound
199033002,0.005714836,61505.0,0.0,***,A1,52.348963130545,-0.251710728112798,A1/2043B,MIDAS site at A1/2043B priority 1 on link 199033002; GPS Ref: 519180;273758; Southbound
199034401,0.0023005435,21328.0,0.0,***,A1M,52.5058732010669,-0.293793082716015,A1M/2223L,MIDAS site at A1M/2223L priority 1 on link 199034401; GPS Ref: 515902;291141; Southbound
199034501,-0.001262372,-0.0026492,0.0,***,A1M,52.4995245090356,-0.29247717700388,A1M/2214J,MIDAS site at A1M/2214J priority 1 on link 199034501; GPS Ref: 516008;290437; Northbound
199034803,0.0067517925,92567.0,0.0,***,A1M,52.5350175806797,-0.320531440110096,A1M/2259A,MIDAS site at A1M/2259A priority 1 on link 199034803; GPS Ref: 514012;294340; Northbound
199041401,-0.012714557,53792.0,0.0,***,M11,52.0969641327274,0.138927222688638,M11/6744J,MIDAS site at M11/6744J priority 1 on link 199041401; GPS Ref: 546612;246448; Northbound
199041501,-0.0049258354,-0.0041995,0.0,***,M11,52.1002899636053,0.13701294856001,M11/6748L,MIDAS site at M11/6748L priority 1 on link 199041501; GPS Ref: 546470;246814; Southbound
199041701,-0.008034236,-0.0060951,0.0,***,M11,52.2131400376897,0.077153756214634,M11/6885J,MIDAS site at M11/6885J priority 1 on link 199041701; GPS Ref: 542011;259245; Northbound
199042001,-0.016899768,21474.0,0.0,***,M11,52.1862763283505,0.074351034722018,M11/6855J,MIDAS site at M11/6855J priority 1 on link 199042001; GPS Ref: 541905;256252; Northbound
199042501,-0.0013330451,-0.0172144,0.0,***,M11,52.1616849788279,0.101674541976993,M11/6821L,MIDAS site at M11/6821L priority 1 on link 199042501; GPS Ref: 543852;253571; Southbound
199045301,-0.0037506816,19214.0,0.0,***,A1M,52.4461743451009,-0.275955742014231,A1M/2153L,MIDAS site at A1M/2153L priority 1 on link 199045301; GPS Ref: 517271;284530; Southbound
199046401,-0.013592794,85476.0,0.0,***,A1M,52.427992233177,-0.270281521737101,A1M/2133J,MIDAS site at A1M/2133J priority 1 on link 199046401; GPS Ref: 517705;282517; Northbound
199046501,-0.0047493633,42476.0,0.0,***,M11,52.1929724155824,0.075540694153952,M11/6863L,MIDAS site at M11/6863L priority 1 on link 199046501; GPS Ref: 541965;256999; Southbound
199046603,0.0036268302,16632.0,0.0,***,A1M,52.3710652268835,-0.25299785097795,A1M/2067A,MIDAS site at A1M/2067A priority 1 on link 199046603; GPS Ref: 519033;276214; Northbound
199046801,0.0057890746,27555.0,0.0,***,A1M,52.4130856460549,-0.266041803791767,A1M/2115B,MIDAS site at A1M/2115B priority 1 on link 199046801; GPS Ref: 518033;280866; Southbound
199047001,-0.0062044817,88053.0,0.0,***,A1M,52.4300396349521,-0.271334011951076,A1M/2135K,MIDAS site at A1M/2135K priority 1 on link 199047001; GPS Ref: 517628;282743; Northbound
199047002,0.0058790934,54455.0,0.0,***,A1M,52.4300830180553,-0.270611554668042,A1M/2134A,MIDAS site at A1M/2134A priority 1 on link 199047002; GPS Ref: 517677;282749; Northbound
199047101,-0.013091717,80674.0,0.0,***,A1M,52.4324763176004,-0.270723835514689,A1M/2137M,MIDAS site at A1M/2137M priority 1 on link 199047101; GPS Ref: 517663;283015; Southbound
199047102,0.0067368317,66946.0,0.0,***,A1M,52.4396236320538,-0.273754402311597,A1M/2145B,MIDAS site at A1M/2145B priority 1 on link 199047102; GPS Ref: 517438;283805; Southbound
199047201,0.006035026,37414.0,0.0,***,A1M,52.4129549465969,-0.266326300248012,A1M/2115A,MIDAS site at A1M/2115A priority 1 on link 199047201; GPS Ref: 518014;280851; Northbound
199047401,-0.0012492051,292.0,0.0,***,A1M,52.5046448016902,-0.294651019955787,A1M/2221K,MIDAS site at A1M/2221K priority 1 on link 199047401; GPS Ref: 515847;291003; Northbound
199047402,0.0051697725,59656.0,0.0,***,A1M,52.5048198532225,-0.294320092218289,A1M/2220A,MIDAS site at A1M/2220A priority 1 on link 199047402; GPS Ref: 515869;291023; Northbound
199047501,0.00036672477,73195.0,0.0,***,A1M,52.5004997376906,-0.292144742074072,A1M/2215M,MIDAS site at A1M/2215M priority 1 on link 199047501; GPS Ref: 516028;290546; Southbound
199047502,0.0065658577,5805.0,0.0,***,A1M,52.5039692200737,-0.293940458710802,A1M/2219B,MIDAS site at A1M/2219B priority 1 on link 199047502; GPS Ref: 515897;290929; Southbound
199047601,0.005630478,63877.0,0.0,***,A1M,52.4827140472484,-0.286456716641162,A1M/2194A,MIDAS site at A1M/2194A priority 1 on link 199047601; GPS Ref: 516461;288577; Northbound
199047701,0.004170386,11345.0,0.0,***,A1M,52.5119428099963,-0.295709619220688,A1M/2228B,MIDAS site at A1M/2228B priority 1 on link 199047701; GPS Ref: 515756;291813; Southbound
