feature,coefficient,std_err,z_value,p_value,conf_int_lower,conf_int_upper
const,3.8849402135155544,,,,,
totalvolume,-2.624673065346701e-05,,,0.0,,
schoolterm_t,-0.0049872664804747,,,0.0,,
universityterm_t,-0.0052721055462501,,,0.0,,
bankholiday_t,2.1589663718073757e-11,,,,,
event_t,-0.0243066642976721,,,0.0,,
roadworks_t,-0.0108379833032927,,,0.0,,
accident_t,-0.0138328277456556,,,0.0,,
temperature_t,0.0005290927513052,,,0.0,,
precipitation_t,-0.0209439818856848,,,0.0,,
month_2,0.0028796959708876,,,,,
month_3,0.0085456744564423,,,,,
month_4,0.0135479167661187,,,,,
month_5,0.016509590305272,,,,,
month_6,0.017424822575344,,,,,
month_7,0.0123792251221349,,,,,
month_8,0.0120329425825485,,,,,
month_9,0.0128350094768129,,,,,
month_10,0.0171697911703324,,,,,
month_11,0.0111346222549536,,,,,
month_12,0.0130478272495152,,,,,
year_2023,0.0043088013668179,,,,,
year_2024,0.0043601065802763,,,,,
hour_0,-0.0684747630094688,,,,,
hour_1,-0.0932054209478895,,,,,
hour_2,-0.1084558941626513,,,,,
hour_3,-0.1087149961328777,,,,,
hour_4,-0.0918453181316488,,,,,
hour_5,-0.0593021899152225,,,,,
hour_6,-0.0267418242056504,,,,,
hour_7,-0.0195164981058568,,,,,
hour_8,-0.0132513260639392,,,,,
hour_9,-0.0072515568858517,,,,,
hour_10,-0.0050387623430422,,,,,
hour_11,-0.0038470056338697,,,,,
hour_12,-0.0026506502307349,,,,,
hour_14,0.0024750541608914,,,,,
hour_15,0.007184383892986,,,,,
hour_16,0.0085742865900678,,,,,
hour_17,0.0136053590531083,,,,,
hour_18,0.0180219678424327,,,,,
hour_19,0.0130099039343225,,,,,
hour_20,-0.0004160570892376,,,,,
hour_21,-0.0185965320686915,,,,,
hour_22,-0.0333613321900007,,,,,
hour_23,-0.0489126868063837,,,,,
dow_Fri,-0.0182379694351048,,,,,
dow_Mon,-0.0188475697917562,,,,,
dow_Thu,-0.0285595016944476,,,,,
dow_Tue,-0.0304699837575605,,,,,
link_106020902,0.3250981426163363,,,,,
link_106021002,0.3569111052349588,,,,,
link_106021201,0.0765687883225001,,,,,
link_106025301,0.346207343165918,,,,,
link_106025302,0.3001502814134195,,,,,
link_106025401,0.3026420778429564,,,,,
link_106026501,0.2957747229283737,,,,,
link_106026502,0.2990603290906573,,,,,
link_106026701,0.2923555595832093,,,,,
link_106026901,0.3379057694164478,,,,,
link_106027201,0.2945467517485449,,,,,
