linkname,coefficient,coefficient_from_ocr,p_value,significance_level,highway,latitude,longitude,road_name,name,Link ID,Number of lanes,Speed limit (mph),Average speed (mph),Average delay (spvpm),Reliability (spvpm),Average daily flow,Length (m),Total delay (vhd),Road number,Road class,Direction,Link location,Start Width,End Width,match_method
106020902,0.006915205,53046.0,0.0,***,A14,52.2376069639125,0.151454647693015,A14/1012A,MIDAS site at A14/1012A priority 1 on link 106020902; GPS Ref: 547006;262114; Eastbound,106020902,2.0,70.0,63.2352,5.581,2.0911999999999997,23727.6,852.24,37.190999999999995,A14,Rural all-purpose dual 2 lane carriageway,Eastbound,A14 eastbound within J33,,,exact_link_id
106021002,0.0011158547,-0.0028435,0.0,***,A14,52.2360943071142,0.12274871669494,A14/0992A,MIDAS site at A14/0992A priority 1 on link 106021002; GPS Ref: 545051;261888; Eastbound,106021002,3.0,70.0,62.772800000000004,5.9618,1.8306,23440.2,1831.02,39.263,A14,Rural all-purpose dual 3 or more lane carriageway,Eastbound,A14 eastbound between J32 and J33,,,exact_link_id
106021201,-0.004494557,-0.0025502,0.0,***,A14,52.2371069017877,0.152250629186234,A14/1013L,MIDAS site at A14/1013L priority 1 on link 106021201; GPS Ref: 547062;262060; Westbound,,2.2111716621253406,70.0,61.754241144414166,7.304957765667575,2.1724114441416895,24210.298365122617,2106.115,50.134013623978205,,,,,,,highway_mean
106025301,0.0057611354,70028.0,0.0,***,A11,52.2199686631229,0.314284680238227,A11/0900A,MIDAS site at A11/0900A priority 1 on link 106025301; GPS Ref: 558186;260495; Northbound,106025301,2.0,70.0,64.7902,4.474600000000001,2.0664000000000002,17290.6,5388.65,21.5754,A11,Rural all-purpose dual 2 lane carriageway,Northbound,A11 northbound between A1304 and A14,,,exact_link_id
106025302,0.005416103,96347.0,0.0,***,A14,52.218643840917,0.313059221719628,A14/1135A,MIDAS site at A14/1135A priority 1 on link 106025302; GPS Ref: 558107;260345; Eastbound,106025302,2.0,70.0,58.732600000000005,10.459,3.9246000000000003,21568.6,7387.5,59.0634,A14,Rural all-purpose dual 2 lane carriageway,Eastbound,A14 eastbound between J35 and J36,,,exact_link_id
106025401,0.0024472312,43898.0,0.0,***,A14,52.2215046047572,0.318039496838215,A14/1139L,MIDAS site at A14/1139L priority 1 on link 106025401; GPS Ref: 558437;260674; Westbound,106025401,3.0,70.0,62.5476,6.3888,1.6986,35609.6,7333.719999999999,64.3776,A14,Rural all-purpose dual 3 or more lane carriageway,Westbound,A14 westbound between J37 and J36,,,exact_link_id
106026501,0.003915763,42937.0,0.0,***,A11,52.2723856268814,0.449716074687819,A11/0024B,MIDAS site at A11/0024B priority 1 on link 106026501; GPS Ref: 567239;266628; Westbound,,2.0261096605744124,69.68668407310705,61.342772845953,8.864159268929503,2.3534099216710183,19161.164490861618,2243.8092167101827,45.34802349869452,,,,,,,highway_mean
106026502,0.0040609203,34951.0,0.0,***,A14,52.2707541780431,0.442956696709823,A14/1250B,MIDAS site at A14/1250B priority 1 on link 106026502; GPS Ref: 566784;266431; Westbound,106026502,2.0,70.0,60.0914,9.017199999999999,3.332,18119.0,6328.16,49.2834,A14,Rural all-purpose dual 2 lane carriageway,Westbound,A14 westbound between J39 and J38,,,exact_link_id
106026701,0.004421329,60822.0,0.0,***,A14,52.270489161479,0.441857434753601,A14/1250A,MIDAS site at A14/1250A priority 1 on link 106026701; GPS Ref: 566710;266399; Eastbound,106026701,3.0,70.0,58.49400000000001,10.218799999999998,2.002,35455.0,3622.31,99.7208,A14,Rural all-purpose dual 3 or more lane carriageway,Eastbound,A14 eastbound between J37 and J38,,,exact_link_id
106026901,0.0053883083,31829.0,0.0,***,A11,52.2896176920156,0.470742089479793,A11/0047B,MIDAS site at A11/0047B priority 1 on link 106026901; GPS Ref: 568608;268593; Southbound,106026901,2.0,70.0,67.256,2.3908,1.1758000000000002,20325.0,3167.27,13.8326,A11,Rural all-purpose dual 2 lane carriageway,Southbound,A11 southbound between B1085 near Red Lodge (north) and B1085 near Red Lodge (south),,,exact_link_id
